ID,lat,lon
716,45.19922335,7.10010581
717,45.20026442,7.16373296
718,45.20127006,7.22736352
719,45.20224027,7.29099737
720,45.20317503,7.3546344
721,45.20407435,7.41827448
722,45.20493823,7.4819175
723,45.20576664,7.54556334
724,45.2065596,7.60921188
725,45.2073171,7.67286301
726,45.20803914,7.7365166
727,45.2087257,7.80017254
728,45.20937679,7.86383071
729,45.20999241,7.927491
730,45.21057255,7.99115327
731,45.21111721,8.05481742
732,45.21162639,8.11848333
733,45.21210007,8.18215087
734,45.21253827,8.24581994
735,45.21294098,8.30949041
736,45.2133082,8.37316216
737,45.21363992,8.43683508
738,45.21393615,8.50050904
739,45.21419687,8.56418394
740,45.2420146,6.97126262
741,45.24312825,7.03493272
742,45.24420643,7.09860648
743,45.24524913,7.16228377
744,45.24625634,7.22596448
745,45.24722806,7.28964849
746,45.24816428,7.35333569
747,45.24906501,7.41702595
748,45.24993023,7.48071916
749,45.25075994,7.5444152
750,45.25155413,7.60811394
751,45.25231282,7.67181528
752,45.25303598,7.73551909
753,45.25372361,7.79922526
754,45.25437572,7.86293366
755,45.2549923,7.92664418
756,45.25557335,7.9903567
757,45.25611886,8.0540711
758,45.25662883,8.11778726
759,45.25710326,8.18150507
760,45.25754214,8.2452244
761,45.25794548,8.30894513
762,45.25831327,8.37266716
763,45.25864551,8.43639035
764,45.2589422,8.50011459
765,45.25920333,8.56383977
766,45.28918911,7.0971036
767,45.29023344,7.16083116
768,45.29124222,7.22456214
769,45.29221546,7.28829643
770,45.29315314,7.35203392
771,45.29405527,7.41577448
772,45.29492184,7.47951799
773,45.29575285,7.54326434
774,45.29654829,7.60701341
775,45.29730816,7.67076508
776,45.29803245,7.73451923
777,45.29872116,7.79827574
778,45.29937428,7.86203449
779,45.29999183,7.92579537
780,45.30057378,7.98955825
781,45.30112014,8.05332302
782,45.30163091,8.11708955
783,45.30210607,8.18085774
784,45.30254564,8.24462745
785,45.30294961,8.30839857
786,45.30331798,8.37217098
787,45.30365073,8.43594457
788,45.30394789,8.49971921
789,45.30420943,8.56349478
790,45.30443536,8.62727117
791,45.30462568,8.69104825
792,45.30478039,8.75482591
793,45.3341714,7.09559718
794,45.33521736,7.15937511
795,45.33622771,7.22315648
796,45.33720247,7.28694118
797,45.33814162,7.35072907
798,45.33904516,7.41452005
799,45.33991308,7.47831399
800,45.34074539,7.54211077
801,45.34154207,7.60591028
802,45.34230312,7.6697124
803,45.34302854,7.73351701
804,45.34371833,7.79732398
805,45.34437247,7.8611332
806,45.34499098,7.92494455
807,45.34557384,7.98875792
808,45.34612106,8.05257317
809,45.34663262,8.1163902
810,45.34710853,8.18020888
811,45.34754879,8.24402909
812,45.34795339,8.30785072
813,45.34832232,8.37167364
814,45.3486556,8.43549774
815,45.34895322,8.49932289
816,45.34921517,8.56314898
817,45.34944146,8.62697589
818,45.34963208,8.6908035
819,45.34978703,8.75463168
820,45.38020088,7.15791563
821,45.38121282,7.22174751
822,45.38218909,7.28558272
823,45.38312971,7.34942114
824,45.38403466,7.41326265
825,45.38490394,7.47710714
826,45.38573754,7.54095448
827,45.38653547,7.60480455
828,45.38729771,7.66865723
829,45.38802426,7.73251241
830,45.38871512,7.79636997
831,45.38937029,7.86022978
832,45.38998977,7.92409173
833,45.39057354,7.98795569
